id,company_name,answers,predicted_risk,confidence,timestamp
1,rd,"{""company_name"": ""rd"", ""organization_size"": ""11-50 employees"", ""company_operating_years"": ""Less than 1 year"", ""unexpected_risk_frequency"": ""Frequently (monthly)"", ""project_delay_frequency"": ""Rarely"", ""budget_overrun_response"": ""Extend timeline"", ""ai_tools_help"": ""Not sure"", ""risk_severity"": {""financial_risk_severity"": 2, ""operational_risk_severity"": 3, ""strategic_risk_severity"": 2, ""technical_risk_severity"": 2, ""compliance_risk_severity"": 1}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 3, ""strategic_risk_impact"": 3, ""compliance_risk_impact"": 3, ""risk_evaluation_method"": ""Regular team discussions"", ""strategy_effectiveness"": ""Somewhat effective""}",Economic risks,0.9956353306770325,2025-10-13 02:44:58.017873
2,vbn,"{""company_name"": ""vbn"", ""organization_size"": ""11-50 employees"", ""company_operating_years"": ""1-3 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Rarely"", ""budget_overrun_response"": ""Request additional budget"", ""ai_tools_help"": ""Probably yes"", ""risk_severity"": {""financial_risk_severity"": 2, ""operational_risk_severity"": 3, ""strategic_risk_severity"": 2, ""technical_risk_severity"": 2, ""compliance_risk_severity"": 1}, ""financial_risk_impact"": 4, ""operational_risk_impact"": 3, ""strategic_risk_impact"": 3, ""compliance_risk_impact"": 4, ""risk_evaluation_method"": ""Regular team discussions"", ""strategy_effectiveness"": ""Neutral""}",No,0.06559398025274277,2025-10-13 02:51:20.626752
3,dsza,"{""company_name"": ""dsza"", ""organization_size"": ""51-200 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Request additional budget"", ""ai_tools_help"": ""Probably yes"", ""risk_severity"": {""financial_risk_severity"": 2, ""operational_risk_severity"": 3, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 2, ""compliance_risk_severity"": 1}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 2, ""strategic_risk_impact"": 4, ""compliance_risk_impact"": 3, ""risk_evaluation_method"": ""Formal risk assessment framework"", ""strategy_effectiveness"": ""Somewhat effective""}",No,0.06881803274154663,2025-10-13 02:55:26.621742
4,khalil,"{""company_name"": ""khalil"", ""organization_size"": ""51-200 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Frequently (monthly)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Not sure"", ""risk_severity"": {""financial_risk_severity"": 3, ""operational_risk_severity"": 2, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 4, ""compliance_risk_severity"": 2}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 4, ""strategic_risk_impact"": 4, ""compliance_risk_impact"": 4, ""risk_evaluation_method"": ""Regular team discussions"", ""strategy_effectiveness"": ""Very effective""}",Economic risks,0.9960036873817444,2025-10-13 03:00:53.868371
5,khalil,"{""company_name"": ""khalil"", ""organization_size"": ""11-50 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Probably yes"", ""risk_severity"": {""financial_risk_severity"": 3, ""operational_risk_severity"": 3, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 2, ""compliance_risk_severity"": 3}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 4, ""strategic_risk_impact"": 4, ""compliance_risk_impact"": 4, ""risk_evaluation_method"": ""Formal risk assessment framework"", ""strategy_effectiveness"": ""Very effective""}",No,0.062221456319093704,2025-10-13 03:07:13.525251
6,khalil,"{""company_name"": ""khalil"", ""organization_size"": ""51-200 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Not sure"", ""risk_severity"": {""financial_risk_severity"": 4, ""operational_risk_severity"": 4, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 2, ""compliance_risk_severity"": 3}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 3, ""strategic_risk_impact"": 3, ""compliance_risk_impact"": 3, ""risk_evaluation_method"": ""No formal evaluation process"", ""strategy_effectiveness"": ""Not effective at all""}","Financial risks, operational risks",0.9959606528282166,2025-10-13 03:15:19.065237
7,usman,"{""company_name"": ""usman"", ""organization_size"": ""51-200 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Not sure"", ""risk_severity"": {""financial_risk_severity"": 3, ""operational_risk_severity"": 4, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 3, ""compliance_risk_severity"": 2}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 4, ""strategic_risk_impact"": 4, ""compliance_risk_impact"": 3, ""risk_evaluation_method"": ""Ad-hoc basis when issues arise"", ""strategy_effectiveness"": ""Somewhat effective""}",No,0.06593623012304306,2025-10-13 03:15:55.418679
8,fds,"{""company_name"": ""fds"", ""organization_size"": ""11-50 employees"", ""company_operating_years"": ""1-3 years"", ""unexpected_risk_frequency"": ""Rarely (once a year or less)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Not sure"", ""risk_severity"": {""financial_risk_severity"": 3, ""operational_risk_severity"": 4, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 3, ""compliance_risk_severity"": 2}, ""financial_risk_impact"": 3, ""operational_risk_impact"": 3, ""strategic_risk_impact"": 3, ""compliance_risk_impact"": 3, ""risk_evaluation_method"": ""Using risk management software"", ""strategy_effectiveness"": ""Somewhat effective""}",No,0.06706659495830536,2025-10-13 03:29:19.731229
9,fds,"{""company_name"": ""fds"", ""organization_size"": ""51-200 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Probably yes"", ""risk_severity"": {""financial_risk_severity"": 4, ""operational_risk_severity"": 4, ""strategic_risk_severity"": 3, ""technical_risk_severity"": 3, ""compliance_risk_severity"": 3}, ""financial_risk_impact"": 4, ""operational_risk_impact"": 4, ""strategic_risk_impact"": 4, ""compliance_risk_impact"": 4, ""risk_evaluation_method"": ""No formal evaluation process"", ""strategy_effectiveness"": ""Somewhat effective""}",Economic risks,0.06317029893398285,2025-10-13 03:38:39.416233
10,vbn,"{""company_name"": ""vbn"", ""organization_size"": ""51-200 employees"", ""company_operating_years"": ""3-5 years"", ""unexpected_risk_frequency"": ""Occasionally (2-4 times a year)"", ""project_delay_frequency"": ""Sometimes"", ""budget_overrun_response"": ""Reallocate resources"", ""ai_tools_help"": ""Not sure"", ""risk_severity"": {""financial_risk_severity"": 5, ""operational_risk_severity"": 3, ""strategic_risk_severity"": 4, ""technical_risk_severity"": 4, ""compliance_risk_severity"": 3}, ""financial_risk_impact"": 4, ""operational_risk_impact"": 4, ""strategic_risk_impact"": 4, ""compliance_risk_impact"": 4, ""risk_evaluation_method"": ""Using risk management software"", ""strategy_effectiveness"": ""Somewhat effective""}",Economic risks,0.06276077032089233,2025-10-13 03:48:03.350617
