Time taken,source,Source details,From IP,Total points,1. What is your software company name? (Optional),2. How big is your organization?,3. What type of software development does your company focus on? (Multiple choice) (Web page development),3. (Mobile application development),3. (Artificial Intelligence/Machine Learning Solutions),3. (Cybersecurity Solution),3. (Cloud computing service),3. (Game Development),4. How long has your company been operating?,"5. What types of risks does your software company usually face? (Multiple choice) (Financial risk (budget overspending, funding issues))","5. (Operational risk (ine efficiency of process, poor management))","5. (Strategic risk (market competition, project failure))","5. (Technical risk (system failure, network security threat))",5. (Compliance Risk (Legal and Regulatory Issues)),5. (Others (please specify) __________),6. How often will your company encounter unexpected risks?,7. Which risk has had the most significant impact on your business over the past year?,8. How often will your company face project delays due to poor planning or changes in demand?,9. What is the main reason for your project cost overrun? (Multiple choice) (Scope spread/Customer demand changes),9. (Unestly estimated project cost),9. (Resource allocation is inefficient),9. (An unexpected technical problem),9. (Time estimate is inaccurate),10. What strategies does your organization use to control project costs and durations? (Multiple choice) (Strict budget and financial tracking),"10. (Use project management tools (such as Jira, Trello))",10. (Regular review and adjustment of timetables),10. (Agile or iterative development method),10. (Customer participation and feedback loop),11. How does your team usually respond when the project exceeds the budget or schedule?,12. Do you think using AI tools can help your company better manage cost and time risks?,13. Which of the following functions do you want AI tools to have to manage cost/time risks? (Multiple choice) (Cost forecasting and assisting in budgeting work),13. (Timeline prediction based on project progress),13. (Automatic alarm for potential overspending),13. (Smart suggestions for timetable/cost adjustment),13. (Integrated with project management tools),"14. With 1 to 5 as the level, how severe is the following risks affecting your organization? ÂFinancial risk",14. Operational Risk,14. Strategic Risk,14. Technical risks,14. Compliance risk,"15. With 1 to 5 as the level, how serious is financial risks (such as budget overspending, funding issues) affecting your organization?","16. How severe is the impact of operational risks (such as inefficient process, poor management) on your organization on the level of 1 to 5?","17. With 1 to 5 as the level, how severe is strategic risks (such as market competition, project failure) affecting your organization?",18. How severe is compliance risks (such as legal and regulatory issues) affecting your organization on the scale of 1 to 5?,"19. What are the three major risks that your company prioritizes mitigation? (Select up to 3 options) (Financial risk (such as budget overspending, cash flow issues, funding issues))","19. (Operational risks (such as inefficiency, project delay, poor resource management))","19. (Strategic risks (such as market competition, failure to adapt to trends, decision-making errors))","19. (Technical risks (such as network security threats, system failures, software vulnerabilities))","19. (Compliance risks (such as illegal acts, regulatory fines, data protection issues))","19. (Human Resource Risks (such as employee turnover, skills shortage, workplace conflict))","19. (Customer and contract risks (such as contract disputes, changes in customer needs, and refusal to pay))","19. (Supply chain risk (such as supplier default, third-party service delay))","19. (Reputation risks (such as negative news, customer dissatisfaction, negative social media reviews))",20. How does your organization evaluate and classify risks?,21. What risk management strategies does your company currently adopt? (Multiple choice) (Regular risk audit),21. (Employee Risk Management Training),21. (Emergency Fund Reserve),21. (Cybersecurity Policy and Firewall),21. (Compliance Monitoring System),21. (No formal risk management system),22. How effective do you think your current risk management strategy is?,23. What is the biggest challenge your organization faces in managing risks?,24. Do you understand risk management solutions based on artificial intelligence?,25. Are you willing to use artificial intelligence-based tools for risk assessment and mitigation?,26. Which functions do you think are the most useful in a risk management system based on artificial intelligence? (Multiple choice) (Automatic risk detection),26. (Forecast risk),26. (Chamber bots that provide real-time support),26. (Risk classification and priority sorting),26. (Integrated with existing business tools),27. Are you willing to participate in the AI-driven risk management pilot project?
317 seconds,WeChat,,114.246.237.122 (Beijing-Beijing),12.0,"Beijing Lingxun Technology Co., Ltd.",1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Loss,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,Demand boundary control is not clear enough,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
400 seconds,WeChat,,221.198.235.195 (Tianjin-Tianjin),16.0,(null),1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Project competition,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,efficiency,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
206 seconds,WeChat,,120.244.235.165 (Beijing-Beijing),16.0,(null),1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,Strategic risk,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,High communication cost,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
410 seconds,WeChat,,114.246.255.29 (Beijing-Beijing),11.0,(null),1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Project churn,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,Strategic risk,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
152 seconds,WeChat,,61.48.36.96 (Beijing-Beijing),18.0,Autohome,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,Information security,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,Personnel risk,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0
122 seconds,WeChat,,120.244.232.231 (Beijing-Beijing),8.0,(null),1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Technology updates too fast,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,Technology iterates too fast,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
326 seconds,WeChat,,221.216.117.220 (Beijing-Beijing),14.0,Jinjing,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,Financial risk,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,Risk assessment is inaccurate,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
151 seconds,WeChat,,42.100.4.6 (Heilongjiang-Harbin),4.0,(null),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,No,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
561 seconds,WeChat,,120.244.232.231 (Beijing-Beijing),15.0,(null),1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,"Market competition, customer demand changes",3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Can't effectively avoid,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
426 seconds,WeChat,,222.131.241.79 (Beijing-Beijing),15.0,"Guangxi Qishi Technology Co., Ltd.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Upgrades to customers' security compliance requirements lead to large-scale software updates,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,Stability of core developers,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
