Serial number,Submit the answer time,Time taken,source,Source details,From IP,Total points,1. What is your software company name? (Optional),2. How big is your organization?,3. What type of software development does your company focus on? (Multiple choice),4. How long has your company been operating?,5. What types of risks does your software company usually face? (Multiple choice),6. How often will your company encounter unexpected risks?,7. Which risk has had the most significant impact on your business over the past year?,8. How often will your company face project delays due to poor planning or changes in demand?,9. What is the main reason for your project cost overrun? (Multiple choice),10. What strategies does your organization use to control project costs and durations? (Multiple choice),11. How does your team usually respond when the project exceeds the budget or schedule?,12. Do you think using AI tools can help your company better manage cost and time risks?,13. Which of the following functions do you want AI tools to have to manage cost/time risks? (Multiple choice),"14. With 1 to 5 as the level, how severe is the following risks affecting your organization? —Financial risk",14. Operational Risk,14. Strategic Risk,14. Technical risks,14. Compliance risk,"15. With 1 to 5 as the level, how serious is financial risks (such as budget overspending, funding issues) affecting your organization?","16. How severe is the impact of operational risks (such as inefficient process, poor management) on your organization on the level of 1 to 5?","17. With 1 to 5 as the level, how severe is strategic risks (such as market competition, project failure) affecting your organization?",18. How severe is compliance risks (such as legal and regulatory issues) affecting your organization on the scale of 1 to 5?,19. What are the three major risks that your company prioritizes mitigation? (Select up to 3 options),20. How does your organization evaluate and classify risks?,21. What risk management strategies does your company currently adopt? (Multiple choice),22. How effective do you think your current risk management strategy is?,23. What is the biggest challenge your organization faces in managing risks?,24. Do you understand risk management solutions based on artificial intelligence?,25. Are you willing to use artificial intelligence-based tools for risk assessment and mitigation?,26. Which functions do you think are the most useful in a risk management system based on artificial intelligence? (Multiple choice),27. Are you willing to participate in the AI-driven risk management pilot project?
1,2025/5/22 12:55:56,317 seconds,WeChat,,114.246.237.122 (Beijing-Beijing),12,"Beijing Lingxun Technology Co., Ltd.",Small (1-50 employees),Web page development?Mobile application development?Artificial intelligence/machine learning solutions?Cloud computing services,More than 5 years,"Financial risk (budget overspending, funding issues)?Strategic risk (market competition, project failure)",Occasionally (2-5 times a year),Loss,Occasionally,Scope spread/change of customer demand?Unest project cost,Agile or iterative development methodology?Customer engagement and feedback loop,Improve internal coordination,uncertain,Cost forecasting and assisting budget work?Schedule forecasting based on project progress,generally,generally,serious,generally,generally,generally,generally,generally,generally,"Strategic risks (e.g., market competition, failure to adapt to trends, decision-making errors)?HR risks (e.g., employee turnover, skills shortage, workplace conflict)?Customer and contract risks (e.g., contract disputes, changes in customer needs, refusal to pay)",Manual assessment of management,Regular risk audit ?Employee risk management training,generally,Demand boundary control is not clear enough,no,"If it proves valid, maybe",Automatic risk detection,yes
2,2025/5/22 13:05:19,400 seconds,WeChat,,221.198.235.195 (Tianjin-Tianjin),16,(null),Small (1-50 employees),Web page development?Mobile application development,More than 5 years,"Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)",Very rarely (once a year or less),Project competition,rare,Scope spread/change customer demand,Agile or iterative development methodology?Customer engagement and feedback loop,Improve internal coordination,"If it's affordable and easy to use, maybe",Integrate with project management tools,Very serious,serious,generally,serious,Very serious,Significant impact,generally,Significant impact,generally,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Customer and contract risks (such as contract disputes, changes in customer needs, refusal to pay)",Manual assessment of management,Regular risk audits?Employee risk management training?Emergency fund reserves?Cybersecurity policies and firewalls,More effective,efficiency,no,"If it proves valid, maybe",Risk classification and prioritization ?Integration with existing business tools,yes
3,2025/5/22 15:27:05,206 seconds,WeChat,,120.244.235.165 (Beijing-Beijing),16,(null),Small (1-50 employees),Web page development?Mobile application development,3-5 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)?Technical risk (system failure, network security threat)",Occasionally (2-5 times a year),Strategic risk,Occasionally,Scope spread/change of customer demand?Unest project cost?Inefficient resource allocation?Unexpected technical problems?Inaccurate time estimates,"Strict budgeting and financial tracking ?Using project management tools (e.g. Jira, Trello) ?Agile or iterative development methods",Apply for more resources or time,"Yes, of course",Cost forecasting and assisting budget work?Schedule/Cost adjustment smart suggestions,serious,serious,Very serious,serious,serious,satisfy,satisfy,Significant impact,generally,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)",Manual assessment of management,Regular risk audits?Cybersecurity policies and firewall?Compliance monitoring system,Very effective,High communication cost,yes,"Yes, we are interested",Automatic risk detection ? Predicting risk? Chatbots that provide real-time support? Integrate with existing business tools,yes
4,2025/5/22 15:41:35,410 seconds,WeChat,,114.246.255.29 (Beijing-Beijing),11,(null),Small (1-50 employees),Web page development?Mobile application development,More than 5 years,"Strategic risk (market competition, project failure)",Very rarely (once a year or less),Project churn,rare,Scope spread/change of customer demand?Unest project cost?Unexpected technical problems?Inaccurate time estimates,Strict budget and financial tracking ?Regular review and adjustment schedule ?Agile or iterative development methodology ?Customer engagement and feedback loop,Apply for more resources or time,uncertain,Cost forecasting and assisting budget work?Schedule forecasting based on project progress?Automatic alerts for potential overspending?Smart suggestions for timetables/cost adjustment?Integration with project management tools,Nothing serious,Nothing serious,generally,Nothing serious,Nothing serious,satisfy,Dissatisfied,satisfy,No impact,"Strategic risks (e.g., market competition, failure to adapt to trends, decision-making errors)?HR risks (e.g., employee turnover, skills shortage, workplace conflict)?Customer and contract risks (e.g., contract disputes, changes in customer needs, refusal to pay)",Manual assessment of management,Regular risk audits?Emergency fund reserves?Cybersecurity policies and firewall?Compliance monitoring system,More effective,Strategic risk,no,"If it proves valid, maybe",Automatic risk detection ? Predicting risk? Chatbots with real-time support? Risk classification and prioritization? Integration with existing business tools,yes
5,2025/5/28 22:45:56,152 seconds,WeChat,,61.48.36.96 (Beijing-Beijing),18,Autohome,Large (more than 200 employees),Web page development?Mobile application development?Artificial intelligence/machine learning solutions?Cybersecurity solutions?Cloud computing services,More than 5 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)?Technical risk (system failure, cybersecurity threat)?Compliance risk (legal and regulatory issues)",Occasionally (2-5 times a year),Information security,rare,Resource allocation inefficiency?Time estimates are inaccurate,"Strict budgeting and financial tracking ?Using project management tools (e.g. Jira, Trello) ?Review and adjust schedules regularly?Agile or iterative development methods",Improve internal coordination,"Yes, of course",Cost forecasting and assisting budget work?Schedule forecasting based on project progress,Very serious,serious,Very serious,Very serious,serious,satisfy,satisfy,Significant impact,Significant impact,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)?Technical risks (such as cybersecurity threats, system failures, software vulnerabilities)",Data-driven analysis,Regular risk audit ?Employee risk management training ?Emergency fund reserves,More effective,Personnel risk,yes,"If it proves valid, maybe",Automatic risk detection? Chatbots that provide real-time support?Integrate with existing business tools,yes
6,2025/5/28 22:46:16,122 seconds,WeChat,,120.244.232.231 (Beijing-Beijing),8,(null),Small (1-50 employees),Game development,1-3 years,"Technical risks (system failures, cybersecurity threats)?Compliance risks (legal and regulatory issues)",Very rarely (once a year or less),Technology updates too fast,Occasionally,Inefficient resource allocation?Unexpected technical problems,Strict budgeting and financial tracking ?Agile or iterative development methodology,Improve internal coordination,"If it's affordable and easy to use, maybe",Automatic alerts for potential overspending?Smart recommendations for timetable/cost adjustment,generally,generally,serious,Very serious,serious,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,"Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)?Technical risks (such as cybersecurity threats, system failures, software vulnerabilities)",Data-driven analysis,Regular risk audits?Cybersecurity policies and firewalls,Not very effective,Technology iterates too fast,no,"If it proves valid, maybe",Predicting risk?Integrate with existing business tools,no
7,2025/5/29 9:35:10,326 seconds,WeChat,,221.216.117.220 (Beijing-Beijing),14,Jinjing,Small (1-50 employees),Artificial Intelligence/Machine Learning Solutions,3-5 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)",Occasionally (2-5 times a year),Financial risk,often,Underestimate project costs?Inefficient resource allocation,Agile or iterative development methodology?Customer engagement and feedback loop,Try adjusting the range or function,"If it's affordable and easy to use, maybe",Timetable forecast based on project progress?Smart suggestions for timetable/cost adjustment?Integration with project management tools,serious,serious,serious,generally,generally,satisfy,satisfy,generally,generally,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)",Manual assessment of management,Regular risk audit ?Employee risk management training,generally,Risk assessment is inaccurate,no,"If it proves valid, maybe",Predicted Risk?Risk Classification and Priority?Integration with existing business tools,yes
8,2025/5/29 11:51:41,151 seconds,WeChat,,42.100.4.6 (Heilongjiang-Harbin),4,(null),Small (1-50 employees),Web page development?Mobile application development?Artificial intelligence/machine learning solutions?Cybersecurity solutions?Cloud computing services,Less than 1 year,"Financial risks (budget overspending, funding issues)",Very rarely (once a year or less),No,rare,Scope spread/change of customer demand?Unest project cost,Agile or iterative development methodology?Customer engagement and feedback loop,Try adjusting the range or function,"Yes, of course",Cost forecasting and assisting in budgeting efforts,Very not serious,Very not serious,Very not serious,Very not serious,Very not serious,No impact,No impact,No impact,No impact,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)",Data-driven analysis,Regular risk audits?Employee risk management training?Emergency fund reserves?Cybersecurity policy and firewall?Compliance monitoring system,Very effective,No,yes,"Yes, we are interested",Automatic risk detection ? Predicting risk? Chatbots with real-time support? Risk classification and prioritization? Integration with existing business tools,no
9,2025/5/29 11:54:33,561 seconds,WeChat,,120.244.232.231 (Beijing-Beijing),15,(null),Small (1-50 employees),Web page development?Mobile application development,More than 5 years,"Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)",Occasionally (2-5 times a year),"Market competition, customer demand changes",often,Scope spread/change of customer demand?Unest project cost,Agile or iterative development method,Apply for more resources or time,"If it's affordable and easy to use, maybe",Cost forecasting and assisting budget work?Schedule forecasting based on project progress?Automatic alerts for potential overspending?Smart suggestions for timetables/cost adjustment?Integration with project management tools,generally,serious,Very serious,generally,generally,generally,satisfy,Significant impact,generally,"Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)?Customer and contract risks (such as contract disputes, changes in customer needs, refusal to pay)",No formal risk assessment process,No formal risk management system,Not very effective,Can't effectively avoid,no,"If it proves valid, maybe",Automatic risk detection ?Predicted risk ?Risk classification and prioritization ?Integration with existing business tools,yes
10,2025/6/3 19:35:23,426 seconds,WeChat,,222.131.241.79 (Beijing-Beijing),15,"Guangxi Qishi Technology Co., Ltd.",Small (1-50 employees),Artificial Intelligence/Machine Learning Solutions,More than 5 years,"Financial risk (budget overspending, funding issues)?Operational risk (inefficiency in process, poor management)?Compliance risk (legal and regulatory issues)",Very rarely (once a year or less),Upgrades to customers' security compliance requirements lead to large-scale software updates,Occasionally,Scope spread/change customer demand,Customer Engagement and Feedback Loop,Try adjusting the range or function,"Yes, of course",Cost forecasting and assisting in budgeting efforts,Very serious,serious,Very serious,generally,generally,satisfy,satisfy,satisfy,generally,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Customer and contract risks (such as contract disputes, changes in customer needs, refusal to pay)",Manual assessment of management,Employee Risk Management Training?Emergency Fund Reserve?Cybersecurity Policy and Firewall?Compliance Monitoring System,generally,Stability of core developers,no,"If it proves valid, maybe",Integrate with existing business tools,no
